lfdn;duration;p_0001;1_order;2_order;3_order;participant_id;1_1_ai;1_2_ai;1_3_ai;1_4_ai;1_5_ai;1_6_ai;1_free;1_1_sus;1_2_sus;1_3_sus;1_4_sus;1_5_sus;1_6_sus;1_7_sus;1_8_sus;1_9_sus;1_10_sus;1_1_tlx_demand;1_2_tlx_demand;1_3_tlx_demand;1_4_tlx_demand;1_5_tlx_demand;1_1_tlx_performance;2_1_ai;2_2_ai;2_3_ai;2_4_ai;2_5_ai;2_6_ai;2_free;2_1_sus;2_2_sus;2_3_sus;2_4_sus;2_5_sus;2_6_sus;2_7_sus;2_8_sus;2_9_sus;2_10_sus;2_1_tlx_demand;2_2_tlx_demand;2_3_tlx_demand;2_4_tlx_demand;2_5_tlx_demand;2_1_tlx_performance;3_1_ai;3_2_ai;3_3_ai;3_4_ai;3_5_ai;3_6_ai;3_free;3_1_sus;3_2_sus;3_3_sus;3_4_sus;3_5_sus;3_6_sus;3_7_sus;3_8_sus;3_9_sus;3_10_sus;3_1_tlx_demand;3_2_tlx_demand;3_3_tlx_demand;3_4_tlx_demand;3_5_tlx_demand;3_1_tlx_performance;rank_1;rank_2;rank_3;4_free;Gender;Age;Degree;Profession;Field;Gdpr;Ropa;Chatbot;Seminar_1;seminar_2
78;5788;1;Form;Ask;Chat;CTL2527;5;5;5;4;4;5;-99;4;1;5;1;5;1;5;1;4;1;2;2;1;4;5;3;4;5;5;3;4;4;-99;4;4;4;1;4;3;4;2;4;1;7;4;1;7;13;6;5;5;5;4;4;4;-99;4;2;5;1;4;2;5;1;5;1;5;2;3;3;2;4;Form;Ask;Chat;Bei Form sieht man direkt die Möglichkeiten und bekommt eine  Ausfüllhilfe  und kann abschätzen ob was vergessen wurde.  Bei Ask bekam man direkt Vorschläge welche man übernehmen und je Abschnitt direkt anpassen konnte. Das manuelle Übernehmen war nervig.  Bei Chat musste man je Abschnitt sich erst die Informationen anzeigen lassen welche das Modell vorsehen würde, fühlte sich nach unnötiger Arbeit an. Das manuelle Eingreifen war aufwendiger. ;Male;27;Bachelor;Student;IT;2;1;5;4;WINFO Praxisprojekt I
86;2225;1;Form;Ask;Chat;EHJ2314;4;5;4;3;3;4;-99;2;3;4;3;4;3;5;2;4;2;3;5;5;5;14;12;2;4;4;1;2;2;fand die Version im  Vergleich zur ersten Variante (form) erheblich schlechter;2;2;4;2;4;4;4;2;4;1;3;3;3;3;8;18;1;1;3;1;3;1;kontinuierlich schlechter geworden. Der KI Vorschlag war am besten + benutzerfreundlichsten;1;5;2;4;1;5;1;5;1;5;18;3;3;15;13;19;Form;Ask;Chat;Form war am schnellsten und am besten integriert. Wenn die KI gut trainiert ist hat es das höchste Automatisierungspotenzial. Dadurch am Besten.   Gefahr: nur die KI-Schläge werden genutzt;Male;24;Bachelor;Student;IT;3;1;4;5;-99
100;1468;1;Chat;Ask;Form;EUT2807;4;2;3;2;2;3;-99;3;1;4;1;5;3;3;2;3;1;3;4;10;7;10;5;4;4;3;3;2;4;-99;3;1;4;1;4;3;4;1;3;1;7;3;10;7;10;3;3;2;4;4;4;3;-99;3;2;5;1;4;2;4;1;3;2;11;4;10;5;10;5;Form;Ask;Chat;War von oben nach unten immer etwas unangenehmer zu bedienen;Male;25;Bachelor;Student;IT;2;1;4;4;Praxisprojekt I
33;772;1;Form;Ask;Chat;NAV0706;2;1;2;3;3;2;-99;2;4;4;1;3;4;4;2;2;1;12;2;1;3;7;7;4;3;3;3;2;4;-99;3;3;4;1;4;4;4;2;3;1;10;2;1;10;3;6;2;1;4;3;3;1;-99;1;4;3;1;3;3;4;5;2;1;12;4;1;6;9;14;Form;Ask;Chat;-99;Male;25;Bachelor;Student;IT;5;3;5;5;-99
7;2550;1;Form;Ask;Chat;NOC2416;5;5;2;2;3;4;-99;3;2;4;1;4;2;5;2;4;2;5;8;5;5;8;15;4;4;2;3;3;1;Eine Affirmation, dass die Frage um die ich mich kümmere wichtig ist, ist nicht bei jeder Antwort notwendig;2;1;4;1;2;3;2;3;4;1;7;5;5;10;9;5;3;1;3;3;4;1;Mehrere Paralelle anfragen für schnelleren Workflow würde diesen Modus deutlich verbessern (ich verstehe wenn das aus kosten/demo gründen nicht so ist)    Es ist nicht klar welche Antwort zur Generation gegeben wird (Wenn das der gesamte Chatverlauf ist, dann ist das teurer zu verarbeiten als nötig). Vielleicht eine kurze Erklärung zu jedem Modus auf der Webseite?    In diesem Modus fühle ich mich am meisten gebremst, da Felder die einfach zu beantworten sind, auch das warten auf die LLM erfordern (e.g. Datenquellen die man 1 zu 1 aus dem Text kopieren kann);1;1;4;1;3;3;3;4;4;2;5;5;5;7;5;10;Form;Ask;Chat;Der Modus Form, ist am schnellsten, aber bietet dem Nutzer auch das Gefühl für die meiste Kontrolle. Hier ist am besten ersichtlich welche Informationen für die Generation genutzt werden.  Der Modus Ask kommt danach, da einfache Fragen nicht den Einbezug einer LLM benötigen wie schon bei Form aber für schwierigere Sachverhalte diese unterstützen kann.  Der Modus Chat kommt als letztes, da sich der Modus anfühlt wie Stützräder die man nicht braucht und einen nur verlangsamen anstatt wirklich zu helfen.;Male;25;Bachelor;Student;IT;4;1;4;5;-99
25;1151;1;Chat;Ask;Form;NUP1152;4;4;3;4;4;4;-99;3;3;3;1;2;3;4;4;4;2;6;2;8;3;3;5;4;5;4;4;3;4;-99;4;4;4;1;2;3;4;1;5;2;7;2;7;8;3;5;5;5;4;4;4;5;-99;4;1;5;1;5;2;5;5;5;1;2;3;1;4;3;2;Form;Ask;Chat;Bei Form hat man eine Auswahl und kann besser abwägen was passt falls man keine ahnung über die themen hat;Male;24;Bachelor;Student;IT;4;2;5;5;-99
83;1455;1;Form;Chat;Ask;KIR2546;5;5;4;3;3;5;-99;4;1;5;1;5;2;5;1;4;1;6;1;2;3;3;4;4;5;5;4;4;4;Ein Chatfeld wäre meiner Meinung nach ausreichend gewesen. Die Möglichkeit in jedem Abschnitt einen Chat zu öffnen, finde ich eher verwirrend.;4;2;4;1;4;1;5;1;5;1;5;1;3;3;2;18;5;5;4;4;4;4;-99;4;1;5;1;4;1;5;1;4;1;5;1;2;3;2;18;Form;Ask;Chat;-99;Female;24;Bachelor;Student;IT;4;1;5;4;Praxisprojekt I
72;2590;1;Chat;Ask;Form;LHL1942;5;5;5;4;4;4;-99;4;1;5;1;5;1;5;1;5;1;1;2;2;2;1;1;5;5;5;4;5;4;-99;4;1;5;1;5;1;5;1;5;1;1;2;1;1;1;2;5;5;4;4;4;4;-99;4;1;5;1;5;1;5;1;5;1;2;2;1;1;1;2;Form;Ask;Chat;Ich fand die KI Vorschläge gut, da man schneller vorangekommen ist und direkt verstanden hat worum es geht.;Female;26;Bachelor;Student;IT;4;3;5;5;-99
102;1023;1;Form;Ask;Chat;NAB2742;5;5;4;4;4;4;-99;4;2;4;1;4;3;5;1;4;1;2;1;5;12;6;16;3;2;3;3;3;2;-99;2;2;2;4;2;3;2;2;2;2;9;3;9;6;2;4;1;1;3;2;3;1;-99;1;1;1;3;2;1;3;2;1;3;4;3;7;8;8;20;Form;Ask;Chat;-99;Female;25;Bachelor;Student;IT;4;1;3;5;-99
76;3013;1;Chat;Form;Ask;aal1412;5;4;4;3;2;4;-99;4;1;4;1;4;3;4;2;5;1;7;1;5;8;6;1;4;4;5;3;4;4;-99;4;2;4;1;4;2;2;1;4;1;6;5;5;10;7;9;4;4;5;4;4;3;-99;3;1;4;1;4;1;3;2;3;1;8;5;6;11;4;6;Form;Ask;Chat;-99;N/A;26;Master;Employed;IT;3;2;5;5;-99
38;1539;1;Form;Ask;Chat;YÜI1752;5;5;5;3;4;5;Die KI hilft zwar die Prozesse zu beschleunigen aber im Endefekt würde ich trotzdem noch bevor ich das erstelle, die Angaben überprüfen und gegebenenfalls korrigieren oder ergänzen.;4;1;5;1;4;2;5;1;5;1;2;1;1;1;1;9;3;3;4;4;4;3;Mkt der KI zu chatten braucht man manchmal auch gewisses Hintergrundwissen, damit man genau weiß wie die Frage lauten soll.;3;2;4;3;4;2;3;2;4;2;3;4;5;3;4;7;3;3;3;3;2;3;Das erste Beispiel war immernoch am schnellsten und effektivsten meiner Meinung nach. ;3;3;4;3;4;2;4;2;4;2;7;5;6;6;5;5;Form;Ask;Chat;İch finde die schnellste und einfachste Lösung ist das direkte ausfüllen der Kİ. Danach kommt für mich die Ask methode und zuletzt der chat weil im chat muss man sich auch etwas in dem Gebiet auskennen um die Frage gut zu formulieren. ;Female;29;Bachelor;Staatsexamen;IT;5;2;5;5;-99
51;1262;1;Ask;Form;Chat;ELL2944;4;5;4;2;2;4;-99;3;3;3;2;3;2;4;3;2;1;12;6;7;6;11;10;4;5;4;3;3;4;Die Textfelder mit den KI-Vorschlägen sind in der mobilen Ansicht leider zu klein, sodass man nicht den ganzen Text sehen kann. Ich hätte die Texte gerne ganz angeschaut, bevor ich das Dokument generieren lasse.;3;2;2;1;2;2;3;3;3;2;4;6;4;4;10;8;4;3;3;3;3;2;-99;2;3;3;1;2;2;3;3;2;1;7;4;12;14;11;11;Form;Ask;Chat;-99;Female;26;Bachelor;Employed;HR;2;2;4;0;-99
27;2231;1;Form;Ask;Chat;ENB1054;5;5;5;3;4;5;-99;5;1;5;1;5;2;5;1;5;2;3;5;1;1;1;1;5;5;5;5;5;3;Zeitlich intensiver aber detailierter.;3;3;5;1;5;1;5;3;5;1;5;4;4;4;10;1;5;5;5;5;5;5;-99;4;3;5;5;5;1;5;1;4;1;5;4;4;3;4;1;Form;Ask;Chat;Form war am einfachsten und am schnellsten und Ask hat mehr argumentiert.;Male;23;Bachelor;Student;BWL;5;1;5;4;Praxisprojekt 1
55;2708;1;Ask;Form;Chat;PVV2109;5;5;5;4;5;5;-99;5;1;5;1;4;1;5;1;5;1;3;1;5;13;10;1;5;5;5;5;4;5;-99;5;1;5;1;5;2;5;1;4;1;1;1;3;13;3;1;5;5;2;2;3;1;-99;2;3;4;1;2;2;5;2;2;1;1;1;5;13;5;1;Form;Ask;Chat;-99;Male;23;Bachelor;Student;BWL;1;1;4;1;-99
99;2959;1;Form;Ask;Chat;UTP0442;4;5;1;2;2;3;-99;2;1;5;2;3;2;5;1;2;1;5;2;10;2;3;15;4;5;2;3;3;4;-99;3;2;5;1;3;2;5;1;4;4;3;2;12;3;3;12;4;5;3;2;2;3;-99;2;2;3;2;2;3;5;2;4;1;4;4;15;5;5;8;Form;Ask;Chat;-99;Male;23;Bachelor;Student;BWL;2;1;4;4;Praxisprojekt 1
9;2731;1;Chat;Form;Ask;IHL0436;5;5;5;4;3;5;-99;3;1;5;1;4;1;5;1;5;1;2;1;3;2;4;6;3;1;1;3;3;5;Ich habe die KI nicht verwendet;4;2;5;1;4;2;5;1;4;1;2;1;1;1;2;5;4;4;4;4;3;4;-99;3;1;4;1;4;1;5;1;5;1;2;1;1;1;2;3;Form;Ask;Chat;Ich fand bei Chat zu unklar, was jetzt genau im Dokument steht, bei den anderen konnte man das noch mehr selber kontrollieren.   Ich fand Form am angenehmsten, weil ich die KI nicht benutzt hab und dadurch nicht lange auf Antworten warten musste, jedoch ist dieses auch am unkonkretesten meinerseits. Ich mochte aber das man selbstständig ankreuzen und schreiben konnte.;Female;24;Bachelor;Student;Research;1;1;4;5;-99
20;2419;1;Chat;Form;Ask;AHR0531;4;5;3;4;4;4;-99;3;3;3;2;2;3;3;3;2;2;7;1;3;12;11;13;4;5;4;4;4;5;-99;3;1;4;1;4;2;4;1;3;1;5;1;1;6;6;9;4;2;4;4;4;2;-99;2;2;3;2;3;3;3;4;2;2;10;2;2;10;11;10;Form;Ask;Chat;-99;Male;27;Master;Employed;Research;1;1;4;5;-99
23;4741;1;Form;Chat;Ask;MIN0453;5;5;4;4;3;3;-99;4;1;5;1;4;1;5;1;4;1;10;1;1;6;6;11;4;3;2;4;3;3;-99;2;1;5;1;4;1;3;2;4;1;8;1;3;8;13;10;5;4;4;4;3;4;-99;4;1;4;1;1;1;4;1;4;1;6;1;4;8;13;10;Form;Ask;Chat;Form ging am schnellsten, natürlich nicht einfach präzise Fragen noch mal abzuändern und zu klären aber wahrscheinlich für den Alltag am praktikabelsten;Female;25;Bachelor;Student;Other;1;1;5;5;-99
66;-1;1;Form;Ask;Chat;AUZ0425;5;5;4;4;4;5;-99;3;2;5;1;5;2;4;1;5;1;4;2;2;2;4;3;4;3;5;4;5;3;Die KI formuliert ihre Antworten nicht aus wenn man das Tab wechselt.;3;2;4;1;2;3;2;3;5;1;8;1;1;7;7;10;5;4;3;4;5;4;-99;4;1;5;1;4;2;4;1;5;1;2;2;2;3;2;3;Ask;Chat;Form;Die Ask-Funktion in der man selbst formulieren muss hat einen am meisten verunsichert. Der Chat hat am meisten abgenommen, was sich (wenn man null Ahnung hat) wie eine große Hilfe anfühlt.;Male;27;Bachelor;Student;IT;4;2;5;1;-99
5;2721;1;Ask;Form;Chat;IAR1116;5;2;5;3;3;5;-99;3;3;4;2;5;1;1;1;3;2;7;1;1;1;13;3;5;5;4;3;4;5;-99;5;1;5;1;5;1;5;1;4;1;1;1;1;2;2;3;5;5;5;5;5;5;-99;5;2;5;1;5;1;3;1;5;1;1;1;1;1;1;1;Ask;Chat;Form; Chat  verbindet die KI mit der direkten Einarbeitung in das Dokument. Es gibt zwar keine Option, die Informationen direkt selbst anzugeben, doch es schadet vermutlich nie, wenn die KI kurz drüber schaut, auch wenn man sich eigentlich sicher ist, dass alles vorhanden ist.   Ask  war von den drei Versionen deutlich am umständlichsten. Entweder man sucht die Informationen erst selbst heraus (dann wäre die KI unnötig) oder man kopiert die Informationen der KI, jedoch habe ich da nicht verstanden, dass bei der Erstellung erneut eine KI drüber arbeitet und alles von der KI versucht in die kleinen Inputs umzuformatieren.;Male;24;Bachelor;Student;IT;3;1;5;3;-99
80;2042;1;Ask;Form;Chat;PET2515;5;5;5;4;4;5;-99;5;1;4;1;4;1;5;1;5;1;6;1;1;5;3;2;2;4;2;1;4;2;-99;2;2;5;1;4;4;5;2;5;2;2;3;2;2;1;11;5;4;2;4;4;2;-99;4;2;5;1;5;4;5;2;5;1;7;1;4;2;1;15;Ask;Chat;Form;-99;Male;28;Bachelor;Student;IT;4;1;5;5;-99
89;840;1;Chat;Ask;Form;ALB0226;4;4;3;3;4;2;-99;3;2;4;2;4;2;4;3;2;2;3;1;1;6;15;11;4;4;2;3;4;2;-99;2;2;4;3;4;3;4;2;3;2;8;1;1;10;16;10;4;4;4;4;4;3;-99;3;2;4;3;4;2;4;2;3;2;9;1;1;9;14;10;Ask;Chat;Form;-99;Male;25;Bachelor;Student;BWL;3;1;4;4;Praxisprojekt 1
52;517;1;Form;Ask;Chat;NNN1550;4;5;4;4;5;4;-99;4;3;3;2;4;3;4;3;4;3;15;14;15;17;17;15;4;5;4;4;3;4;-99;4;2;4;3;4;3;4;2;4;2;17;14;12;11;16;14;4;4;4;3;4;5;-99;4;2;4;4;4;1;4;2;5;3;16;14;17;11;12;14;Ask;Chat;Form;-99;Male;25;Bachelor;Student;BWL;1;1;5;1;-99
60;2468;1;Form;Chat;Ask;NLL0820;5;4;4;3;3;4;-99;3;2;4;2;3;3;4;2;3;2;15;1;10;14;13;10;4;3;3;4;3;4;-99;3;1;4;2;3;3;4;2;3;2;15;1;10;13;14;10;3;4;3;3;3;2;-99;2;4;2;2;2;2;3;3;3;2;15;1;10;13;13;10;Ask;Chat;Form;-99;Female;25;Bachelor;Student;BWL;1;1;4;4;Praxisprojekt 1
70;2168;1;Chat;Form;Ask;AVV6119;3;3;2;4;4;1;-99;2;2;2;1;2;3;4;3;2;4;17;11;5;12;10;15;3;3;3;3;3;3;Konnte das Dokument ohne weitere Fragen erstellen (lassen?). Habe wahrscheinlich was falsch gemacht?;2;2;1;2;3;3;4;3;2;3;10;10;10;10;10;18;3;3;3;3;3;3;Ich konnte das Tool nicht nochmals starten!? Irgendwas passt in der Umfrage nicht?;3;3;3;3;3;3;3;3;3;3;11;11;11;11;11;11;Ask;Chat;Form;-99;N/A;30;Other;PhD;Research;4;1;5;4;Praxisprojekt
95;2154;1;Chat;Form;Ask;AEV2842;4;5;3;4;4;4;-99;3;1;4;1;3;2;4;3;2;2;13;1;3;6;15;10;3;4;2;1;2;1;-99;1;1;4;3;2;4;2;2;1;4;13;1;12;17;18;6;4;4;4;4;4;4;-99;3;1;4;2;4;1;4;3;4;2;15;1;10;10;7;10;Chat;Ask;Form;-99;Male;27;Bachelor;Student;IT;3;1;5;4;Praxisprojekt 
103;2735;1;Ask;Form;Chat;lan0324;5;4;2;4;5;4;-99;2;1;5;1;5;1;5;1;4;1;8;1;2;1;13;4;5;4;3;2;3;4;-99;4;1;5;1;5;2;5;1;3;2;1;1;1;12;1;6;5;4;2;2;4;4;Das Problem das ich generell mit automatisch erzeugen Dokumenten habe ist, dass ich nie sicher gehen kann, ob diese rechtlich tatsächlich korrekt sind und alle Anforderungen abdecken. Ich persönlich würde immer noch einen fachkundigen Menschen über diese Ergebnisse schauen lassen, bevor ich sie verwende;4;1;5;1;5;3;5;1;4;1;1;1;1;1;4;10;Chat;Ask;Form;Der Chat ist natürlich am entspanntesten, da man theoretisch nichts machen muss außer die Stammdaten einzutragen. Allerdings weiß man damit auch weniger genau, wie gut die ausgegeben Daten tatsächlich sind;Male;23;Bachelor;Student;IT;3;1;5;4;Praxisprojekt 1
28;629;1;Ask;Chat;Form;MON0804;4;5;4;3;4;4;Sehr gute Umsetzung;4;1;5;1;4;2;4;1;5;1;2;1;1;3;3;18;4;4;4;4;3;4;-99;3;2;4;1;4;2;4;1;4;1;1;1;16;1;1;3;4;4;3;4;4;4;-99;3;1;4;1;4;2;4;1;4;1;2;2;2;2;2;5;Chat;Ask;Form;-99;Male;26;Bachelor;Student;IT;4;2;5;4;Praxisprojekt 1 Wirtschaftsinformatik Master
3;-1;1;Form;Ask;Chat;RIT1851;5;4;3;4;4;5;-99;3;2;5;1;4;4;4;2;3;4;10;5;3;15;2;16;5;5;5;5;5;3;-99;3;1;4;1;4;3;5;1;4;4;5;1;8;3;11;15;5;5;5;5;5;4;-99;4;1;5;1;5;1;4;1;5;1;3;1;4;1;14;20;Chat;Ask;Form;-99;Male;24;Bachelor;Student;IT;2;1;3;3;-99
93;-1;1;Ask;Form;Chat;UAB0821;5;5;3;5;4;4;-99;4;3;3;1;4;2;5;3;4;2;15;5;2;10;10;12;4;5;2;2;2;5;-99;3;1;4;1;3;4;5;1;5;1;10;2;2;8;8;6;5;5;4;5;4;5;-99;5;2;5;1;2;1;5;1;4;1;10;8;8;8;2;14;Chat;Ask;Form;-99;Male;24;Bachelor;Student;IT;2;1;4;4;Praxisprojekt 1
101;1164;1;Ask;Chat;Form;AYZ3039;4;5;4;2;3;4;-99;3;3;4;1;4;2;4;3;4;3;8;2;3;10;2;6;5;5;5;4;4;4;-99;4;2;5;1;4;3;5;3;5;1;6;1;1;1;5;3;4;5;5;5;4;4;-99;4;1;5;1;4;1;5;1;5;1;1;1;1;1;1;9;Chat;Ask;Form;-99;Female;25;Bachelor;Student;IT;4;2;3;4;Praxisprojekt
94;1027;1;Ask;Chat;Form;KNN1826;5;5;5;4;4;3;Technisch richtig nice, die UI kann man aber noch verbessern - wie z.B. Daten in 2 Columns packen usw. Danke!;4;2;5;3;3;1;3;5;4;4;5;6;12;6;8;15;5;5;4;4;5;5;cool, dass man alle Infos in ein Eingabefeld packen kann, und die KI wird es dann richtig zuordnen;4;2;4;1;5;1;3;5;5;2;4;5;7;9;3;19;2;4;1;1;2;1;fand ich unübersichtlich:( davor konnte ich alle Infos an die KI schicken, hier war es mir nicht klar, wie KI Vorschläge macht;2;4;3;1;2;4;2;2;1;2;15;6;12;12;17;8;Chat;Ask;Form;Nr2, Nr1, Nr3;Female;23;Bachelor;Student;IT;5;2;5;4;Praxisprojekt WiInf
58;4323;1;Ask;Chat;Form;aea2442;4;5;5;4;4;4;-99;3;4;4;1;4;1;4;2;3;1;6;2;6;4;4;6;5;5;4;4;4;5;-99;4;2;1;1;5;1;4;1;4;1;3;2;4;5;3;4;3;3;4;3;3;2;-99;2;3;3;2;3;2;3;2;3;3;8;3;7;8;8;11;Chat;Ask;Form;ich fande den Chat am Intuitivsten zu bedienen, da die KI basierend auf meinen Infos Antworten generiert hat.  Ask war git zum Vertändniss der einzelnen Kathegorien um zu wissen welche Info wozu gehört  Bei Form fand ich die KI-Vorschläge oft aus der Luft gegriffen und nicht basieren auf dem eigentlichen Szenario.;Male;28;Master;Employed;IT;1;1;5;0;-99
91;2870;1;Form;Chat;Ask;AMR2620;5;5;5;4;4;5;-99;4;1;5;1;4;3;5;1;5;1;4;3;4;4;2;4;5;5;5;4;4;5;Es wäre evtl. gut, wenn die KI auch ohne Input bereits etwas ankreuzt, was Sie als sinnvoll erachtet. Bei der ersten Erstellung meines Dokuments war die Rechtsgrundlage leer, weil ich keinen Input im Chat gegeben habe.;5;2;5;1;5;2;5;2;4;1;5;4;5;3;5;3;5;5;5;4;4;5;Es wäre gut, wenn die KI sich an den eingegebenen (Copy Pasted) Text erinnern würde in verschiedenen Feldern. So musste ich es immer neu copy pasten damit sie die Vorschläge anpasst;4;1;4;1;4;2;5;1;5;1;4;4;5;5;5;2;Chat;Ask;Form;Form muss man alles selber nachprüfen und man ist eher unsicher. Bei Chat kreuzt die KI einem alles an (auch wenn man immer selber noch bestätigen muss). Dieses automatische Ankreuzen ist bei Ask leider nicht gegeben und man muss die Antwort selber formulieren bzw. copy pasten.;Male;25;Bachelor;Student;BWL;2;4;5;4;Praxisprojekt 1
44;2022;1;Chat;Ask;Form;OAZ2611;5;5;4;3;3;4;-99;5;2;5;1;5;1;4;2;4;1;1;2;5;1;4;1;4;5;4;3;3;3;-99;4;1;5;1;4;1;4;1;4;1;1;1;1;1;1;1;4;5;3;1;1;3;-99;2;1;5;1;4;5;5;1;4;1;1;1;1;1;1;13;Chat;Ask;Form;-99;Male;26;Bachelor;Student;BWL;2;1;4;1;-99
98;-1;1;Form;Chat;Ask;PLT3135;4;4;3;4;4;2;-99;2;4;3;3;4;3;4;3;2;2;10;8;10;11;15;8;2;2;4;4;4;2;-99;2;4;4;1;2;3;4;3;4;2;12;8;12;10;16;12;4;4;5;4;5;4;-99;4;2;4;2;4;3;4;2;4;2;7;9;9;8;10;14;Chat;Ask;Form;-99;Male;24;Bachelor;Student;BWL;2;1;4;0;-99
41;-1;1;Form;Chat;Ask;Jer1205;4;5;4;3;5;4;-99;4;1;5;2;4;2;5;1;4;4;4;1;4;3;4;4;4;5;4;4;4;3;Im Hinblick auf das Thema ist ein Chat besonders hilfreich, wenn man sich nicht auskennt. ;2;1;5;2;4;2;1;2;5;1;7;4;4;3;5;4;5;5;5;5;5;5;-99;3;3;5;1;5;1;5;3;1;1;5;5;4;4;4;4;Chat;Ask;Form;Ich habe mich für Chat und ASK entschieden, da ich mich mit dem Thema an sich nicht so gut auskannte. So habe ich noch einiges dazugelernt, was ich besonders gut finde. Ich möchte mich nicht nur auf ein gesetztes Kreuzchen verlassen, sondern auch verstehen, was es bedeutet. Meine Reihenfolge bzw. mein Ranking würde sich jedoch ändern, wenn ich Experte auf diesem Gebiet wäre. Des Weiteren hätte ich vermutlich Form höher gerankt, wenn es ganz am Schluss der drei Optionen gekommen wäre und nicht als erstes, ohne Hintergrundwissen.;Female;40;Bachelor;Student;BWL;4;3;3;1;-99
29;1212;1;Ask;Form;Chat;NOL0906;5;5;5;4;4;5;-99;4;2;5;1;4;2;5;2;4;1;2;1;3;1;4;3;1;5;4;5;4;4;-99;4;4;5;1;5;2;5;1;5;1;2;1;3;1;4;3;4;5;3;4;3;5;-99;5;4;5;2;5;1;5;2;5;1;1;2;3;1;3;2;Chat;Ask;Form;Chat war das intuitivste. Sehr nutzerfreundliche Anwendung.   Bei allen 3 war gut, dass in den oberen Feldern Beispiele drin standen.;Female;26;Bachelor;Student;BWL;3;1;5;1;-99
68;2013;1;Ask;Form;Chat;SAP2842;5;5;5;4;4;5;-99;5;2;4;1;4;1;4;2;4;1;3;2;5;3;4;10;4;5;4;4;4;5;-99;4;1;4;1;4;1;4;2;4;2;7;3;7;2;6;11;4;5;3;4;4;5;-99;4;2;5;2;4;2;4;1;4;1;6;5;13;11;3;11;Chat;Ask;Form;-99;Female;30;Bachelor;Student;BWL;3;1;2;4;Praxisprojekt 1
2;2790;-1;-1;-1;-1;NAR2930;5;5;4;2;3;5;Unklar in welcher Tiefe die Daten gegeben werden sollte.  KI wechselt auf Englisch bei Schreibfehler.;3;2;4;2;4;1;4;2;2;1;14;1;1;10;16;12;3;3;4;2;2;2;-99;1;3;2;2;1;3;2;3;1;2;14;4;8;15;17;10;4;5;2;2;4;5;Habe nicht herausgefunden, wie ich mit der KI wirklich chatten konnte. Keine Leichten Anpassungen möglich?;4;2;4;1;4;1;5;2;4;1;6;1;2;2;7;14;Form;Chat;Ask;Insbesondere die Checkboxen mit den verschiedenen Möglichkeiten waren sehr nützlich (FORM). Allerdings hatte diese Variante den Nachteil, dass die KI gefühlt die kleinen Boxen hin gezaubert hat, ohne dass man wirklich damit interagieren kann.    Ask war einfach super nervig und unnütz. Viel Text, ohne wirklichen Bezug.;Female;29;Bachelor;Student;IT;4;2;4;3;-99
11;3242;-1;Form;-1;-1;NNL2811;4;5;4;3;2;4;Wäre cool, gerade bei KI-Input mehr als eine Zeile von dem Feld zu sehen, damit man das besser lesen und überprüfen kann;3;1;4;1;3;2;4;2;3;2;12;1;7;12;8;10;3;3;4;4;3;2;-99;2;4;2;2;2;3;3;3;2;2;10;1;12;14;15;13;4;1;4;4;4;1;Es stört, dass man am Anfang direkt warten muss, bis die KI zuende gedacht hat;1;5;2;1;2;2;2;5;2;2;15;1;10;10;15;14;Form;Ask;Chat;Form ist deutlich schneller, da man in vielen Feldern eine Auswahl zum anklicken hat. Die Auswahl dient auch als Hilfe/Orientierung, ist aber im Gegensatz zur KI sofort verfügbar und übersichtlicher. Im Ask-Modus finde ich die KI-Unterstützung etwas besser, da Erklärungen für Vorschläge vorhanden sind & das Chat-Fenster besser zu lesen ist, mich hat aber gestört, dass ich jedes Feld mit Text ausfüllen musste (statt der Auswahl in Form), und die Wartezeit auf die Antwort verleitet einen dazu, auf die KI-Tipps zu verzichten. Der Chat-Modus hat mir am wenigsten gefallen, da einem die Option genommen wird, Felder direkt auszufüllen und man deutlich mehr Wartezeit hat, bzw. manchmal Unsicherheit aufkommt, was dann am Ende dabei rauskommt;Female;25;Bachelor;Student;Other;1;1;3;5;-99
17;1390;-1;-1;-1;-1;HHT0240;5;5;3;4;3;4;-99;3;1;5;1;4;1;4;1;4;1;6;1;15;8;9;16;4;5;3;3;3;4;-99;3;1;5;1;4;1;5;1;4;1;9;1;7;11;7;15;5;5;3;4;3;3;-99;3;1;5;1;5;1;5;1;5;1;9;1;14;12;13;15;Ask;Chat;Form;-99;Female;25;Bachelor;Student;IT;2;1;3;3;-99
13;3201;-1;-1;-1;-1;CNG3127;5;5;3;4;4;4;It was not instantly clear how the tool funktioned;4;4;2;2;3;2;4;4;2;2;15;3;2;13;13;17;4;4;3;4;3;5;-99;4;2;4;2;4;2;4;2;3;2;13;2;3;4;11;17;3;4;4;4;5;2;-99;2;4;4;2;2;3;4;4;2;2;17;3;3;13;16;9;Chat;Ask;Form;Chat war am einfachsten und am verständlichsten Aufgebaut  ask war nur das Ergebniss kopieren umständlich  Form war die KI am wenigsten hilfreich bei der Beantwortung der Fragen;Male;27;Bachelor;Student;IT;2;1;4;3;-99
